label_scheme,label,cache_budget,sink_size,metric,mean,documents,tokens,ci_low,ci_high
coarse_category,content,128,0,delta_ce,0.5839277353939647,16,429,0.41395353317320027,0.7626656017341641
coarse_category,content,128,0,kl_full_to_compact,0.47770015015334627,16,429,0.3515712485285689,0.6269909144397552
coarse_category,content,128,0,top1_changed,0.31484262168512184,16,429,0.2611309702847645,0.35815121962727164
coarse_category,function,128,0,delta_ce,0.1011593249172166,16,273,0.023291541868843125,0.1759112449074953
coarse_category,function,128,0,kl_full_to_compact,0.22884656686984758,16,273,0.1762803678621919,0.28400061587663994
coarse_category,function,128,0,top1_changed,0.2123667585910149,16,273,0.1569602397398003,0.2734522341008771
coarse_category,other,128,0,delta_ce,0.08710346205281949,16,83,-0.1070861978276783,0.2830940131880538
coarse_category,other,128,0,kl_full_to_compact,0.22191364320141757,16,83,0.12481962960649706,0.3446321064592426
coarse_category,other,128,0,top1_changed,0.20127615440115443,16,83,0.11728929924242423,0.2800147682178931
coarse_category,special,128,0,delta_ce,0.19185078699263558,16,239,0.09753000550019515,0.2897967986022447
coarse_category,special,128,0,kl_full_to_compact,0.2728422358295907,16,239,0.22286366856599232,0.322568092215585
coarse_category,special,128,0,top1_changed,0.21620984291654932,16,239,0.1573957527006462,0.2736654453083681
coarse_category,content,128,4,delta_ce,0.6121354034193123,16,429,0.432982810212697,0.8091673602753079
coarse_category,content,128,4,kl_full_to_compact,0.48929593479684147,16,429,0.3585649374946437,0.6357074992296893
coarse_category,content,128,4,top1_changed,0.32121481210269764,16,429,0.27254982049786625,0.37391993555315206
coarse_category,function,128,4,delta_ce,0.12264654137406432,16,273,0.04688881538809668,0.1986539187239482
coarse_category,function,128,4,kl_full_to_compact,0.2369016959637393,16,273,0.19038089600368235,0.29230580790142785
coarse_category,function,128,4,top1_changed,0.2079040903715532,16,273,0.1506741971091853,0.2744261771214896
coarse_category,other,128,4,delta_ce,0.14202377175291406,16,83,-0.0699598268439954,0.34961798440760916
